Player,Tm,FantPos,G,Pass Cmp,Pass Att,Pass Yds,Pass TD,Int,Rush Att,Rush Yds,Y/A,Rush TD,Tgt,Rec,Rec Yds,Y/R,Rec TD,Fmb,FL,Tot TD,2PM,2PP,FantPt,PPR,VBD,PosRk,OvRk,Opponent_15,Location_15,PointsAllowed_15,GameCompetitiveness_15,Opponent_16,Location_16,PointsAllowed_16,GameCompetitiveness_16,Opponent_17,Location_17,PointsAllowed_17,GameCompetitiveness_17,Partition,Proj Std Pts,Proj_Std_15,Proj_Std_16,Proj_Std_17,Proj PPR Pts,Proj_PPR_15,Proj_PPR_16,Proj_PPR_17
Lamar Jackson,BAL,QB,10,19.9,28.8,266.9,2.4,0.2,9.1,53.8,5.91,0.2,0,0,0,0,0,0.6,0.4,0.2,0.1,0,25.9,25.9,107,1,1,NYG,0,17.2,0.7302632,PIT,1,11.2,0.5328947,HOU,0,16.2,0.7434211,Train,25.880268802,24.438261517,24.068524675,24.339577307,25.847513297,24.409600451,24.039863609,24.31091624
Derrick Henry,BAL,RB,10,0,0,0,0,0,18.4,112,6.09,1.2,1.2,1,9.6,9.6,0.2,0.2,0,1.4,0,0,20.6,21.6,102,1,2,NYG,0,18.4,0.7302632,PIT,1,16.6,0.5328947,HOU,0,15.2,0.7434211,Test,20.565121954,19.907508026,19.957771184,19.588823815,21.600730767,20.813665737,20.863928895,20.494981527
Saquon Barkley,PHI,RB,10,0,0,0,0,0,19.7,113.7,5.77,0.8,2.9,2.3,21,9.13,0.2,0.1,0.1,1,0.2,0,19.7,22,93,2,3,PIT,1,16.6,0.6254826,WAS,0,20.2,0.8532819,DAL,1,22.4,1.1119691,Train,19.629903547,19.148713866,19.281493789,19.777362514,21.960030704,21.187575128,21.320355051,21.816223777
Ja'Marr Chase,CIN,WR,10,0,0,0,0,0,0.1,1.1,11,0,8.7,6.6,98.1,14.86,1,0,0,1,0,0,15.9,22.5,86,1,4,TEN,0,16.4,0.9740741,CLE,1,25.7,0.9185185,DEN,1,15.9,0.6148148,Train,15.953230617,15.696484197,16.870928641,15.860558271,22.548003865,21.466910789,22.641355234,21.630984863
Jalen Hurts,PHI,QB,10,18.2,26.3,219.7,1.2,0.5,10.3,41.7,4.05,1.1,0,0,0,0,0,0.6,0.4,1.1,0,0,22.6,22.6,76,2,5,PIT,1,11.2,0.6254826,WAS,0,16.6,0.8532819,DAL,1,20.5,1.1119691,Train,22.553866749,21.167181668,21.47996159,22.145830316,22.599402554,21.207025497,21.51980542,22.185674146
Baker Mayfield,TAM,QB,10,24.3,34.4,250.5,2.4,0.9,3.6,19.2,5.33,0.2,0,0,0,0,0,0.7,0,0.2,0,0.1,21.1,21.1,63,3,6,LAC,0,14.1,0.5197133,DAL,0,20.5,1.0322581,CAR,1,18.6,1.1111111,Train,21.118814224,19.940933772,20.632188253,20.700073557,21.122699571,19.944333451,20.635587931,20.703473236
Joe Burrow,CIN,QB,10,24.6,35.8,267.2,2.4,0.4,2.9,12.3,4.24,0.1,0,0,0,0,0,0.5,0.1,0.1,0,0,21.1,21.1,62,4,7,TEN,0,16.2,0.9740741,CLE,1,16.6,0.9185185,DEN,1,13.8,0.6148148,Train,21.114365166,20.192476927,20.476921372,20.166551001,21.09888471,20.178931529,20.463375973,20.153005603
Jayden Daniels,WAS,QB,11,18.4,26.7,212.5,0.91,0.27,8.36,43.8,5.24,0.36,0,0,0,0,0,0.27,0,0.36,0,0.18,18.5,18.5,55,5,8,NOR,0,13.9,0.8428571,PHI,1,13.1,0.6392857,ATL,1,18.2,0.8892857,Train,18.533077118,17.690728193,17.84037105,18.37537105,18.504425039,17.665657623,17.81530048,18.35030048
Alvin Kamara,NOR,RB,10,0,0,0,0,0,16.7,71.5,4.28,0.6,6.9,5.1,42.1,8.25,0.1,0.1,0,0.7,0,0,15.6,20.7,54,3,9,WAS,1,20.2,0.9285714,GNB,0,17.7,0.894958,LVR,1,20.3,1.197479,Train,15.555214988,15.973670258,15.470308913,16.010561014,20.654023887,20.435128044,19.931766699,20.4720188
Josh Allen,BUF,QB,10,19,29.9,228.1,1.7,0.4,5.5,26.1,4.75,0.4,0,0,0,0,0,0.5,0.2,0.4,0,0.1,19.9,19.9,51,6,10,DET,0,14.4,0.6082474,NWE,1,14.3,0.7731959,NYJ,1,14.9,0.7560137,Train,19.943692581,18.951555751,19.208050596,19.266332383,19.945286265,18.952950224,19.20944507,19.267726857
Bijan Robinson,ATL,RB,10,0,0,0,0,0,15.5,74.8,4.83,0.6,4.6,4.1,33.1,8.07,0.1,0,0,0.7,0,0,15,19.1,49,4,11,LVR,0,20.3,1.2837838,NYG,1,18.4,1,WAS,0,20.2,0.9954955,Train,14.973801796,15.26045495,15.292076571,15.221626121,19.073026143,18.847276253,18.878897875,18.808447424
George Kittle,SFO,TE,8,0,0,0,0,0,0,0,0,0,6.63,5.38,70,13.02,0.88,0,0,0.88,0,0,12.3,17.6,46,1,12,LAR,1,9.2,0.956,MIA,0,5,0.884,DET,1,3.9,0.708,Train,12.312110165,12.038696394,11.361496394,11.483896394,17.682747815,16.738004338,16.060804338,16.183204338
Justin Jefferson,MIN,WR,9,0.11,0.11,2.44,0,0,0.11,0.33,3,0,8.67,5.89,92.3,15.68,0.56,0.11,0,0.56,0,0,12.7,18.6,44,2,13,CHI,1,16,0.7663934,SEA,0,22.1,0.9754098,GNB,1,19.4,0.8729508,Train,12.809749452,13.135170115,13.516071754,13.485825852,18.649163244,18.244657183,18.625558822,18.595312921
Jahmyr Gibbs,DET,RB,9,0,0,0,0,0,13.6,80.8,5.96,0.78,3.11,2.44,22.4,9.18,0.11,0,0,0.89,0,0,15.7,18.1,41,5,14,BUF,1,21.5,0.5803571,CHI,0,18.5,0.5565476,SFO,0,18.3,0.6607143,Train,15.655669383,16.156746424,15.604365472,15.594782138,18.107431124,18.302037947,17.749656995,17.740073662
Terry McLaurin,WAS,WR,11,0,0,0,0,0,0.18,0.18,1,0,6.18,4.36,65.5,15.02,0.55,0.09,0.09,0.55,0,0,9.64,14,37,3,15,NOR,0,21.4,0.8428571,PHI,1,17.4,0.6392857,ATL,1,22,0.8892857,Train,9.7505639301,10.756029153,10.58567201,11.07067201,14.087707733,14.551029981,14.380672838,14.865672838
Kyren Williams,LAR,RB,9,0,0,0,0,0,19.6,73.8,3.77,0.89,3.44,2.78,15.1,5.44,0.22,0.33,0.22,1.11,0,0,15.1,17.9,36,6,16,SFO,0,18.3,1.0422535,NYJ,0,18.3,1.0328638,ARI,1,19.9,1.0328638,Train,15.082448232,15.131367556,15.130428588,15.540428588,17.917636804,17.612157556,17.611218589,18.021218589
Kyler Murray,ARI,QB,10,19.1,27.6,205.8,1.2,0.3,4.6,37.1,8.07,0.4,0,0,0,0,0,0.6,0.3,0.4,0,0,17.9,17.9,32,7,17,NWE,1,14.3,0.9453782,CAR,0,18.6,1.302521,LAR,0,15.8,1.0042017,Train,17.947959555,17.479002426,17.694716711,17.384884779,17.951871021,17.482424959,17.698139244,17.388307311
Chuba Hubbard,CAR,RB,10,0,0,0,0,0,16.1,81.8,5.08,0.6,3.5,3,12.4,4.13,0.1,0.3,0.2,0.7,0,0,13.2,16.2,32,7,18,DAL,1,22.4,1.7245509,ARI,1,19.9,1.3173653,TAM,0,19.5,1.5928144,Train,13.198952517,14.211538542,13.920819979,13.658364889,16.22032571,16.855240086,16.564521523,16.302066433
Drake London,ATL,WR,10,0,0,0,0,0,0,0,0,0,8.2,5.8,64.9,11.19,0.6,0,0,0.6,0,0,10.1,15.9,31,4,19,LVR,0,17.2,1.2837838,NYG,1,20.4,1,WAS,0,20.6,0.9954955,Train,10.124510197,10.707324801,11.248946422,11.018495972,15.907824937,15.767725198,16.30934682,16.078896369
Garrett Wilson,NYJ,WR,10,0,0,0,0,0,0.1,0.5,5,0,10,6.5,70.4,10.83,0.5,0.1,0.1,0.5,0.1,0,10.1,16.6,31,5,20,JAX,0,23.4,1.5513514,LAR,1,24.3,1.2918919,BUF,0,17,1.0540541,Train,10.102241125,11.334596119,11.648650173,10.644866389,16.605639703,17.025069875,17.339123929,16.335340146
